yy;aeronautica_6686;aeronautica_6690;aeronautica_6691;aeronautica_6692;aeronautica_6693;aeronautica_6694;aeronautica_6697;aeronautica_6707;aeronautica_6709;aeronautica_6711;aeronautica_6718;aeronautica_6720;aeronautica_6721;aeronautica_6723;aeronautica_6729;aeronautica_6730;aeronautica_6733;aeronautica_6736;aeronautica_6758;aeronautica_6768;aeronautica_6769;aeronautica_6771;aeronautica_6773;aeronautica_6776;aeronautica_6777;aeronautica_6779;aeronautica_6782;aeronautica_6784;aeronautica_6794;aeronautica_6800;aeronautica_6803;aeronautica_6810;aeronautica_6812;aeronautica_6817;aeronautica_6819;aeronautica_6820;aeronautica_6821;aeronautica_6822;aeronautica_6826;aeronautica_6827;aeronautica_6828;aeronautica_6836;aeronautica_6839;aeronautica_6841;aeronautica_6850;aeronautica_6851;aeronautica_6856;aeronautica_6858;aeronautica_6859;aeronautica_6865;aeronautica_6867;aeronautica_6869;aeronautica_6874;aeronautica_6876;aeronautica_6881;aeronautica_6883;aeronautica_6884;aeronautica_6889;aeronautica_6891;aeronautica_6893;aeronautica_6897;aeronautica_6901;aeronautica_6902;aeronautica_6906;aeronautica_6919;aeronautica_6922;aeronautica_6923;aosta_105;aosta_106;basilicata_48;bolzano_102;bolzano_107;bolzano_176;bolzano_223;bolzano_28;bolzano_39;bolzano_5;bolzano_77;bolzano_83;calabria_140;calabria_18;calabria_2;calabria_265;emilia_12652;emilia_13119;emilia_9013;emilia_9036;emilia_9045;emilia_9139;emilia_9146;emilia_9200;emilia_9210;emilia_9225;emilia_9277;emilia_9371;emilia_9387;emilia_9577;emilia_9588;lazio_240;lazio_275;lazio_276;lazio_278;lazio_281;lazio_282;lazio_289;lazio_333;marche_101;marche_104;marche_108;marche_109;marche_110;marche_123;marche_142;marche_151;marche_25;marche_605;marche_609;marche_701;marche_702;marche_703;sicilia_136;sicilia_147;sicilia_22;sicilia_24;sicilia_29;sicilia_41;sicilia_48;sicilia_56;sicilia_60;sicilia_66;sicilia_74;sicilia_82;sicilia_83;sicilia_85;sicilia_87;sicilia_9;toscana_17;toscana_464
1989;41;14;23;13;14;0;23;6;7;7;6;0;0;14;6;12;0;0;14;0;7;0;10;19;7;17;18;NA;14;NA;14;12;8;25;7;27;13;10;16;7;8;12;14;18;0;12;8;0;16;7;8;6;9;7;7;16;6;7;NA;7;6;9;6;9;9;0;10;12;13;18;21;39;28;39;13;13;20;32;15;NA;8;NA;NA;0;NA;0;6;0;6;8;14;0;NA;13;NA;6;NA;15;0;16;10;18;28;7;6;10;12;18;18;7;17;NA;41;9;14;17;18;11;NA;NA;14;12;15;26;12;15;0;9;24;11;NA;29;8;28;10;19;24;6
1990;NA;21;17;20;27;27;20;6;6;6;6;NA;NA;31;NA;NA;7;11;18;24;6;10;0;12;6;14;14;7;0;24;17;0;6;11;12;14;6;15;8;12;14;8;0;26;9;19;0;25;7;32;21;28;13;0;0;8;7;NA;NA;0;0;13;8;0;15;0;6;6;6;NA;22;12;35;15;9;25;29;31;13;0;8;NA;0;10;NA;17;0;6;6;0;12;8;10;0;NA;6;13;18;NA;12;18;12;36;18;15;NA;19;20;14;NA;20;19;0;14;6;12;0;NA;NA;NA;8;0;0;0;0;6;0;NA;8;NA;8;NA;17;8;0;7;7;6
1991;0;0;6;13;0;13;0;12;0;9;8;25;14;0;14;23;15;8;7;0;0;6;17;0;7;14;0;0;0;NA;0;0;0;12;6;0;0;0;0;8;0;0;0;0;12;6;0;7;0;7;6;6;8;0;6;0;0;12;6;0;0;6;NA;0;6;0;0;NA;0;0;0;15;14;7;0;0;14;0;7;0;0;0;0;7;6;0;0;0;0;7;6;NA;0;6;6;0;7;0;37;12;0;0;NA;0;6;23;12;6;NA;8;0;7;6;0;6;6;19;NA;NA;0;0;0;0;0;0;6;0;6;0;17;6;8;7;19;6;27;NA;27
1992;0;6;24;29;12;6;15;15;0;0;18;17;19;31;6;6;15;6;12;6;6;19;13;14;6;6;6;6;13;0;12;6;6;6;13;23;24;15;17;0;6;8;10;13;24;14;10;12;13;0;7;0;13;6;0;0;8;9;0;0;6;0;NA;0;0;16;0;7;12;7;0;0;17;0;0;0;6;0;0;10;NA;NA;6;21;0;6;6;6;6;13;7;NA;13;0;7;0;0;6;39;7;12;18;6;12;0;34;NA;0;NA;13;0;12;0;0;7;12;22;0;7;12;15;6;9;6;NA;6;0;12;19;12;NA;NA;7;NA;8;0;7;21
1993;14;0;17;12;0;7;0;0;7;6;6;12;13;36;6;12;7;0;20;NA;0;6;0;6;0;0;24;21;0;29;7;7;7;7;7;0;27;0;12;8;12;6;12;6;0;16;0;0;25;10;0;0;0;0;0;0;NA;6;17;6;0;0;NA;0;0;0;0;0;6;21;0;13;31;8;0;6;13;13;14;NA;18;14;15;17;6;0;0;12;7;8;10;NA;16;0;6;7;16;14;13;0;0;0;34;NA;7;19;21;20;44;10;20;18;25;7;20;20;13;20;19;34;17;0;7;14;NA;NA;16;33;18;41;16;59;38;NA;12;0;0;6
1994;6;7;12;27;18;18;6;20;25;8;39;14;23;19;24;22;17;32;33;25;15;22;0;26;6;27;20;27;6;28;6;6;14;8;16;36;25;0;6;0;6;7;19;30;43;31;0;29;13;7;26;6;0;13;23;12;13;35;6;6;0;26;19;6;13;13;0;6;20;0;0;0;20;8;7;12;7;32;17;10;16;NA;7;NA;0;30;18;15;29;36;14;NA;23;0;NA;15;0;17;36;18;0;13;34;23;23;42;15;0;0;13;13;35;10;0;NA;19;10;19;55;6;26;10;44;66;22;0;31;26;29;20;13;22;42;NA;22;16;25;0
1995;7;6;13;20;0;NA;0;8;7;8;8;7;13;12;9;0;0;0;14;6;0;0;13;17;0;7;NA;0;0;0;0;7;6;6;0;0;0;0;6;0;0;0;6;0;0;0;6;0;0;0;0;0;7;6;0;7;0;0;0;0;6;0;0;6;0;6;6;16;17;0;0;12;7;6;6;20;6;0;0;0;6;6;0;6;0;0;0;0;9;6;8;0;0;NA;7;16;0;0;23;6;0;0;6;6;NA;16;0;6;6;0;0;0;0;0;0;6;NA;0;0;0;0;6;0;0;0;0;0;11;0;0;0;NA;0;0;6;7;7;0
1996;6;10;NA;10;30;10;7;10;9;10;17;8;9;8;8;15;23;16;8;8;6;6;7;9;20;7;13;7;8;7;8;6;6;14;7;15;13;8;12;8;6;13;0;8;15;6;0;14;7;0;7;10;6;6;0;0;0;0;0;0;6;0;0;7;12;0;0;0;0;0;9;8;10;19;12;10;9;14;9;0;6;0;0;NA;7;6;8;9;6;7;14;17;7;8;6;8;0;6;21;7;31;6;7;0;NA;14;13;13;6;7;7;13;NA;7;0;7;7;6;7;NA;NA;6;0;NA;6;0;6;30;NA;0;0;0;0;0;NA;19;14;7
1997;9;NA;NA;27;7;31;20;13;14;12;24;26;34;22;36;15;22;13;17;21;0;14;13;43;18;16;NA;0;12;NA;6;6;0;6;20;22;19;0;9;0;28;0;0;8;7;0;0;7;6;32;0;10;6;0;0;7;18;15;0;0;13;10;0;0;NA;0;7;0;14;NA;0;0;16;18;0;24;7;7;7;NA;8;8;7;28;0;19;23;6;19;22;6;6;29;7;28;15;0;14;6;6;NA;6;7;0;NA;23;0;14;8;7;9;36;0;0;19;6;0;0;7;13;NA;6;18;14;13;0;12;20;14;9;0;8;8;11;7;7;14;17
1998;19;NA;NA;40;13;NA;NA;32;22;31;40;39;50;NA;31;NA;19;6;NA;25;12;10;13;29;13;25;24;7;7;39;18;15;6;6;7;12;42;0;49;0;39;31;13;0;12;21;6;14;19;14;NA;NA;14;17;15;12;14;6;0;6;13;19;8;0;0;16;0;18;26;7;36;21;44;26;15;28;31;27;15;7;NA;13;23;25;11;14;26;24;25;26;43;20;31;33;NA;41;26;49;32;NA;NA;25;39;17;NA;39;NA;42;22;52;13;40;49;28;NA;NA;26;9;49;NA;14;0;8;NA;NA;7;26;NA;24;29;NA;47;15;15;19;12;26;14
1999;NA;NA;NA;NA;NA;0;NA;0;NA;0;16;NA;NA;NA;NA;NA;9;0;NA;NA;NA;NA;NA;NA;7;NA;NA;13;NA;NA;NA;8;NA;NA;25;NA;NA;9;NA;6;NA;NA;8;NA;NA;NA;NA;NA;NA;NA;9;NA;NA;11;NA;NA;NA;NA;NA;6;21;NA;50;15;NA;NA;NA;0;0;17;0;8;27;7;12;8;9;15;16;28;21;20;33;15;8;25;13;13;0;8;0;13;14;10;6;0;7;8;NA;9;12;14;10;23;24;24;14;14;7;15;8;14;21;7;NA;NA;NA;NA;0;NA;50;9;24;55;53;39;13;NA;44;37;12;42;29;44;18;NA;8;27
2000;6;16;10;12;NA;17;NA;0;NA;0;0;NA;18;NA;24;19;23;28;17;NA;8;0;NA;NA;16;NA;26;20;NA;NA;NA;6;7;NA;11;15;25;12;24;26;33;NA;0;NA;NA;22;NA;18;20;NA;16;29;8;9;12;16;NA;21;10;7;NA;20;NA;10;NA;NA;6;0;0;17;0;6;15;0;13;0;0;0;0;6;22;25;0;19;9;10;28;12;10;12;16;20;12;12;24;0;NA;21;16;9;NA;30;32;12;32;16;17;26;26;26;6;17;29;11;17;18;NA;18;17;17;36;6;8;21;26;11;31;18;24;23;7;30;16;NA;16;141;12;21
2001;14;40;NA;20;13;16;NA;32;40;28;29;37;32;32;29;38;23;47;9;7;13;0;22;NA;7;15;17;6;46;0;NA;NA;18;23;19;6;26;15;15;NA;19;31;6;NA;16;17;8;14;32;10;26;60;10;0;28;13;13;28;30;21;NA;30;NA;18;35;38;25;7;27;0;6;19;36;13;12;34;13;19;7;14;10;0;6;14;13;21;6;21;19;21;8;13;14;19;20;25;7;13;38;13;26;NA;7;6;19;39;6;0;6;0;9;6;19;12;25;7;NA;NA;14;NA;NA;0;22;18;NA;19;19;NA;29;35;28;24;20;NA;26;6;19;23
2002;7;0;12;31;8;23;16;17;8;11;11;NA;30;17;30;32;22;47;19;25;30;15;25;22;11;33;23;27;22;31;NA;0;13;17;16;27;26;17;22;26;16;44;0;18;32;0;0;6;15;31;0;15;15;0;11;13;NA;7;0;0;7;6;17;19;7;8;6;25;26;24;19;8;8;18;10;7;10;8;11;0;6;15;7;19;11;25;12;11;12;25;6;23;20;NA;NA;13;17;26;36;18;18;19;33;12;17;18;24;34;NA;31;20;18;18;17;NA;30;NA;17;26;NA;50;19;NA;21;35;7;7;6;19;15;12;14;7;NA;6;7;12;17
2003;34;36;83;72;25;59;NA;63;NA;67;65;68;65;48;86;70;70;54;61;48;40;35;52;NA;54;66;62;49;60;54;NA;35;32;61;61;79;63;NA;62;47;58;75;8;68;92;50;19;42;44;24;37;46;69;7;49;12;16;72;15;21;25;37;78;34;40;54;NA;40;30;28;35;18;50;29;NA;54;51;33;34;28;29;18;14;50;31;50;61;43;54;68;70;NA;63;75;62;59;41;62;87;60;56;46;73;65;45;55;51;50;24;51;27;49;45;30;73;40;65;45;53;38;13;22;52;52;27;40;30;42;NA;42;18;69;NA;28;43;25;52;54
2004;20;0;20;12;6;11;6;0;6;0;6;12;16;0;0;10;20;17;19;0;7;0;16;7;0;8;24;0;15;26;14;0;10;15;8;14;8;7;8;25;28;28;9;8;27;23;14;17;23;49;10;27;12;8;13;9;15;30;0;0;24;7;8;0;0;14;NA;12;13;20;7;0;6;6;0;0;0;12;6;16;7;6;14;7;7;6;0;0;0;14;6;0;8;12;6;0;9;14;23;15;22;21;14;7;7;NA;23;34;NA;16;8;9;14;6;20;7;6;17;23;27;9;15;0;14;21;8;17;0;NA;23;6;8;NA;NA;8;0;0;15
2005;NA;33;52;52;18;9;20;22;23;23;27;26;22;15;15;9;7;28;40;8;0;0;21;28;18;18;17;14;34;45;23;0;0;0;12;0;6;6;13;16;NA;21;0;0;16;12;0;0;NA;0;0;12;22;0;6;0;NA;8;0;0;0;0;9;0;0;6;0;7;21;0;20;23;38;13;20;25;32;33;31;0;NA;0;0;25;24;6;25;34;26;10;27;0;24;21;30;13;9;19;44;13;12;47;42;7;0;15;16;24;17;NA;9;30;23;18;18;21;16;0;16;39;0;0;0;NA;15;13;0;0;NA;50;0;NA;NA;6;6;0;17;19
2006;NA;30;32;28;8;26;36;33;39;30;37;35;46;44;52;44;36;52;23;33;26;7;35;20;32;19;36;21;25;23;22;6;12;22;28;0;31;30;29;20;NA;20;12;7;33;22;7;0;20;6;19;38;43;27;32;19;21;6;13;12;19;26;99;30;24;12;17;0;0;20;18;17;34;10;9;24;6;0;21;13;27;19;20;56;22;43;27;38;17;50;34;15;27;33;42;32;13;31;63;12;29;28;36;15;37;25;29;46;32;NA;16;23;32;36;83;16;27;0;29;23;27;22;33;36;37;15;26;7;33;32;19;68;NA;33;39;6;8;30
2007;52;47;51;64;32;NA;49;12;32;37;49;NA;70;51;41;50;57;33;32;38;34;17;31;34;45;42;52;27;39;22;13;26;40;34;42;10;36;17;51;6;56;24;20;38;31;53;33;0;NA;9;30;46;43;7;12;16;NA;24;0;7;13;7;14;19;13;28;21;31;30;17;33;29;73;56;33;41;45;52;53;23;22;23;9;34;20;44;39;27;44;46;65;59;44;51;57;40;27;30;64;20;46;30;62;NA;NA;41;71;63;68;NA;41;64;72;47;33;57;74;36;65;NA;31;12;12;41;50;24;45;10;NA;15;0;54;NA;21;41;7;37;48
2008;14;7;22;25;15;NA;6;11;11;17;22;16;31;31;17;30;40;40;26;NA;27;0;9;20;18;7;23;21;0;0;25;25;17;23;35;22;14;0;21;19;NA;26;9;15;36;13;12;0;15;6;17;36;8;0;9;9;NA;17;0;0;11;9;11;0;6;0;0;19;6;13;12;0;28;15;6;13;8;8;14;8;0;0;6;20;8;11;8;6;21;18;14;6;31;7;13;21;12;17;31;10;6;20;13;14;8;32;NA;19;NA;24;NA;23;7;6;20;10;32;101;29;NA;16;0;0;10;9;0;16;18;NA;10;9;19;10;14;9;10;11;21
2009;6;10;10;22;32;NA;21;18;18;24;27;23;32;18;39;16;28;28;41;NA;24;14;50;28;42;46;30;46;36;34;19;10;7;42;46;28;35;27;35;16;NA;47;6;49;24;18;0;10;12;14;10;0;49;0;6;0;NA;NA;6;17;12;22;6;21;9;0;0;21;0;18;0;9;41;7;7;16;23;13;17;0;6;0;NA;32;11;23;14;17;23;24;36;23;24;31;23;36;7;10;41;34;26;56;36;36;15;50;NA;29;NA;17;NA;38;14;10;23;NA;NA;61;15;26;27;0;0;12;15;0;14;24;23;6;8;11;10;13;10;0;36;46
2010;0;28;28;27;0;NA;18;10;6;6;23;14;20;29;20;19;24;14;24;7;12;15;7;15;0;0;19;6;0;33;6;0;0;16;20;6;16;11;21;0;21;6;0;16;6;24;6;0;0;0;0;0;14;0;6;0;0;0;0;0;0;12;0;0;9;6;0;0;0;0;0;10;27;10;0;0;21;10;0;0;0;0;0;16;0;20;6;0;7;20;17;6;20;13;6;12;6;13;20;13;0;7;27;6;13;24;13;25;20;8;6;20;23;6;6;13;0;21;14;NA;6;0;0;12;28;0;7;0;12;0;0;6;0;7;6;0;0;0
2011;35;61;59;36;53;NA;54;70;52;67;75;70;61;52;55;NA;67;60;48;52;28;8;30;51;34;38;37;47;42;46;52;30;26;51;16;9;63;24;57;16;20;23;0;34;6;33;8;6;17;14;24;37;48;0;7;0;9;0;0;0;0;13;0;8;18;38;7;33;26;30;15;22;75;35;12;43;38;55;36;19;14;NA;13;NA;35;68;31;52;42;58;39;50;31;60;39;49;27;48;36;54;21;51;40;39;10;78;53;43;38;54;31;49;37;27;18;62;32;34;57;37;12;0;24;21;33;7;10;0;6;7;0;9;16;10;16;7;42;48
2012;13;41;47;50;22;NA;41;43;29;65;50;40;47;46;66;53;28;29;55;30;25;14;30;45;30;56;51;51;51;71;34;30;24;64;53;45;80;32;57;36;49;17;23;36;46;42;15;13;12;37;28;70;51;0;20;6;20;12;12;0;0;11;19;7;24;10;8;24;13;18;6;13;49;20;7;17;13;13;13;21;13;6;14;69;22;68;34;33;NA;70;50;NA;53;46;41;47;28;54;55;43;33;41;70;NA;33;53;42;56;36;66;20;48;40;21;43;39;35;22;53;39;34;0;15;57;27;16;38;14;48;0;26;37;41;38;NA;0;33;40
2013;12;52;35;21;28;NA;31;21;14;30;31;30;NA;43;25;23;32;13;33;22;16;0;19;31;14;6;26;19;34;26;37;25;6;31;26;21;21;23;44;25;26;34;17;32;27;28;0;6;30;24;27;22;38;0;14;13;13;8;NA;0;19;29;7;6;13;6;9;7;NA;NA;19;13;46;26;26;23;29;21;34;22;NA;7;20;NA;21;14;12;20;NA;23;23;23;36;20;25;14;0;20;49;35;16;22;21;28;22;42;27;26;19;27;13;27;26;20;6;24;21;27;27;NA;13;7;6;7;15;16;0;8;7;0;22;28;0;34;NA;13;6;26
2014;14;33;7;24;25;NA;36;33;26;24;47;49;NA;7;13;12;31;38;25;14;15;15;23;22;28;30;32;19;27;29;19;7;8;40;23;13;30;32;33;35;28;21;9;84;25;8;22;17;40;12;9;31;44;11;19;30;38;20;NA;9;6;0;9;14;42;7;25;6;25;20;6;17;17;15;7;20;16;22;17;6;12;6;13;7;28;16;8;16;NA;27;24;NA;27;18;21;15;12;NA;30;26;21;19;33;29;19;62;15;27;27;30;18;28;21;12;NA;42;20;0;NA;43;28;19;38;32;50;22;18;50;18;0;33;NA;7;28;7;35;13;38
2015;48;49;83;63;81;NA;67;55;54;67;78;80;NA;30;38;39;46;42;84;17;52;20;20;68;25;17;42;40;49;NA;65;13;15;24;9;26;57;10;52;23;39;22;18;46;30;22;13;33;31;6;29;27;45;0;27;16;7;7;31;14;0;6;NA;0;22;0;0;37;70;NA;27;36;61;74;53;51;64;42;60;0;18;6;6;79;36;53;45;50;54;54;61;NA;50;55;56;54;31;64;45;68;19;38;73;52;31;68;59;47;53;56;25;39;23;33;29;37;41;9;48;48;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;25;49
2016;6;19;27;20;22;NA;9;22;13;21;33;NA;NA;13;17;25;18;27;43;0;0;10;20;69;29;8;17;12;29;NA;49;13;8;21;32;NA;NA;15;16;9;22;8;15;23;7;15;23;22;21;21;NA;23;NA;0;9;13;NA;NA;12;6;0;0;19;0;9;0;6;NA;NA;0;6;6;21;6;6;34;21;NA;30;7;8;0;0;NA;NA;NA;13;20;NA;NA;7;NA;NA;NA;27;NA;NA;NA;35;30;14;21;35;24;15;57;26;7;0;7;14;7;40;18;21;22;13;NA;8;33;6;0;10;26;15;9;NA;10;NA;NA;12;17;11;8;8;16;6;28
2017;19;47;71;61;34;NA;40;71;44;68;66;NA;52;7;12;14;18;26;93;14;31;8;26;74;27;44;44;61;14;NA;69;28;29;36;26;NA;NA;18;43;6;30;12;0;34;0;15;0;20;38;25;NA;19;10;7;7;0;NA;NA;44;7;0;NA;7;28;44;33;16;NA;NA;NA;21;15;35;35;33;30;46;NA;38;7;31;17;8;NA;NA;NA;42;70;NA;NA;68;NA;NA;NA;69;NA;NA;NA;42;48;16;25;101;74;24;54;55;40;29;49;27;27;72;25;18;45;19;0;58;69;18;10;18;33;23;14;NA;31;NA;NA;18;18;18;10;24;0;41;35
2018;10;46;62;34;17;NA;43;47;40;52;77;77;72;27;48;64;54;62;NA;22;6;31;26;35;16;11;7;11;27;NA;42;16;25;28;12;NA;NA;26;30;25;29;13;15;71;0;40;6;63;16;18;30;14;0;0;16;0;NA;NA;24;34;12;NA;21;9;29;20;6;NA;NA;16;9;NA;28;21;23;29;51;NA;18;6;8;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;38;50;26;29;27;22;13;59;24;10;7;25;14;7;34;NA;11;22;12;NA;8;11;28;6;0;0;6;0;0;8;NA;NA;NA;13;6;0;6;0;NA;30
